"KOREA, REPUBLIC OF",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Asian Development Bank (ADB) ,,,,,,,,,,,,,,,,,,,,
Key Indicators for Asia and the Pacific 2019,,,,,,,,,,,,,,,,,,,,
www.adb.org/statistics,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
,POPULATION ,,,,,,,,,,,,,,,,,,,
,Total population   as of 1 July (million),47.0,47.4,47.6,47.9,48.1,48.2,48.4,48.7,49.1,49.3,49.6,49.9,50.2,50.4,50.7,51.0,51.2,51.4,51.6
,Population density   (persons/km2),473,476,478,481,483,484,486,488,491,494,495,499,501,503,506,509,511,513,514
,Population   (% annual change),0.8,0.8,0.6,0.5,0.4,0.2,0.5,0.5,0.8,0.5,0.5,0.8,0.5,0.5,0.6,0.5,0.5,0.4,0.4
,Urban population   (% of total population),79.6,79.9,80.3,80.7,81.0,81.3,81.5,81.6,81.7,81.8,81.9,81.9,81.9,81.8,81.7,81.6,81.6,81.5,81.5
,,,,,,,,,,,,,,,,,,,,
,LABOR FORCE   calendar year ('000),"22,151","22,511","22,982","23,043","23,544","23,718","24,024","24,351","24,551","24,582","24,956","25,389","25,781","26,108","26,836","27,153","27,418","27,748","27,895"
,Employed,"21,173","21,614","22,232","22,222","22,682","22,831","23,188","23,561","23,775","23,688","24,033","24,527","24,955","25,299","25,897","26,178","26,409","26,725","26,822"
,"     Agriculture, forestry, and fishing","2,266","2,193","2,107","1,976","1,905","1,817","1,774","1,720","1,698","1,660","1,586","1,563","1,531","1,513","1,446","1,337","1,273","1,279","1,340"
,     Mining and quarrying,17,18,18,18,16,17,17,17,23,23,21,17,15,16,13,14,19,23,19
,     Manufacturing,"4,297","4,275","4,258","4,215","4,192","4,129","4,071","4,047","4,008","3,876","4,078","4,156","4,171","4,307","4,459","4,604","4,584","4,566","4,510"
,"     Electricity, gas, steam, and air-conditioning supply; water supply; sewerage,
          waste management, and remediation activities",,,,,122,127,139,148,158,169,145,150,152,168,174,184,189,187,197
,     Construction,,,,,"1,830","1,814","1,838","1,864","1,828","1,735","1,768","1,772","1,797","1,780","1,829","1,854","1,869","1,988","2,034"
,     Wholesale and retail trade; repair of motor vehicles and motorcycles,,,,,"3,804","3,741","3,716","3,692","3,664","3,628","3,608","3,680","3,729","3,694","3,834","3,816","3,754","3,795","3,723"
,     Accommodation and food service activities,,,,,"2,061","2,053","2,049","2,052","2,056","1,951","1,903","1,874","1,927","1,985","2,118","2,195","2,291","2,288","2,243"
,     Transportation and storage,,,,,"1,135","1,158","1,190","1,249","1,256","1,253","1,288","1,346","1,394","1,428","1,429","1,429","1,426","1,405","1,407"
,     Information and communication,,,,,609,640,659,645,636,658,670,706,707,697,718,774,784,783,837
,     Financial and insurance activities,,,,,741,748,793,816,833,777,820,859,856,878,852,799,803,794,840
,     Real estate activities,,,,,451,492,495,502,489,501,517,488,489,437,454,462,483,540,528
,     Others,"14,593","15,128","15,849","16,013","5,817","6,097","6,449","6,810","7,125","7,457","7,627","7,915","8,190","8,399","8,572","8,711","8,936","9,079","9,145"
,Unemployed,978,898,751,821,862,887,836,790,776,894,924,863,826,808,939,976,"1,009","1,023","1,073"
,Unemployment rate   (%),4.4,4.0,3.3,3.6,3.7,3.7,3.5,3.2,3.2,3.6,3.7,3.4,3.2,3.1,3.5,3.6,3.7,3.7,3.8
,Labor force   (% annual change),...,1.6,2.1,0.3,2.2,0.7,1.3,1.4,0.8,0.1,1.5,1.7,1.5,1.3,2.8,1.2,1.0,1.2,0.5
,Labor force participation rate   (%),61.2,61.5,62.1,61.6,62.3,62.2,62.2,62.2,61.7,61.0,61.1,61.3,61.6,61.7,62.7,62.8,62.9,63.2,63.1
,     Male,74.4,74.4,75.1,74.9,75.2,74.8,74.5,74.4,73.8,73.2,73.2,73.4,73.5,73.5,74.4,74.1,74.0,74.1,73.7
,     Female,48.8,49.4,49.9,49.1,50.1,50.3,50.5,50.5,50.2,49.3,49.6,49.8,50.1,50.3,51.5,51.9,52.2,52.7,52.9
,,,,,,,,,,,,,,,,,,,,
,NATIONAL ACCOUNTSa   calendar year (W billion),,,,,,,,,,,,,,,,,,,
,At Current Prices,,,,,,,,,,,,,,,,,,,
,GDP by industrial origin at current market prices,"651,634","707,021","784,741","837,365","908,439","957,448","1,005,602","1,089,660","1,154,217","1,205,348","1,322,611","1,388,937","1,440,111","1,500,819","1,562,929","1,658,020","1,740,780","1,835,698","1,893,497"
,"     Agriculture, forestry, and fishing","25,139","25,211","25,165","24,825","26,872","25,085","25,115","24,881","24,726","27,007","28,357","30,684","31,484","31,503","32,144","33,225","32,362","33,974","34,529"
,     Mining and quarrying,"1,602","1,600","1,675","1,633","1,680","1,854","1,786","1,823","2,009","2,005","1,947","1,956","1,912","2,102","2,089","2,145","2,368","2,349","2,248"
,     Manufacturing,"172,347","175,900","192,149","202,006","237,270","246,420","254,471","277,678","295,735","310,677","362,908","392,191","400,810","417,015","422,654","441,134","458,831","494,645","504,607"
,"     Electricity, gas, steam, and air-conditioning supply","13,607","14,676","16,225","17,281","16,834","17,066","17,668","18,258","11,194","15,523","19,460","17,026","18,411","21,484","27,287","32,384","34,003","29,477","24,720"
,"     Water supply; sewerage, waste management, and remediation activities","3,194","3,482","3,759","4,102","4,526","4,810","5,077","5,371","5,738","6,238","6,247","6,631","7,368","7,873","8,460","9,377","10,305","10,537","12,093"
,     Construction,"35,728","39,221","43,687","52,240","55,235","56,821","58,048","61,402","60,563","62,181","60,669","60,698","63,077","68,525","72,339","81,174","91,543","101,197","102,356"
,     Wholesale and retail trade; repair of motor vehicles and motorcycles,"56,582","59,348","62,982","64,452","68,367","71,810","75,821","81,392","88,559","92,328","103,542","111,989","117,518","121,181","119,139","123,433","128,897","133,713","137,766"
,     Accommodation and food service activities,"16,724","18,737","20,955","21,409","21,596","21,753","23,176","24,866","26,747","27,803","28,705","29,324","30,553","31,698","33,450","36,912","40,344","41,412","42,895"
,     Transportation and storage,"25,841","27,251","29,568","32,461","36,636","37,340","37,841","42,590","45,778","41,866","45,781","42,691","44,129","47,335","51,326","58,500","58,803","58,284","57,088"
,     Information and communication,"27,763","33,126","38,764","40,786","42,275","46,364","48,351","50,004","51,062","53,637","55,334","57,037","60,214","63,368","66,375","69,789","74,470","76,712","79,243"
,     Financial and insurance activities,"32,327","38,209","49,449","50,622","50,634","55,218","58,043","65,868","69,260","70,528","77,692","83,539","81,294","79,411","84,176","88,258","89,594","96,984","104,336"
,     Real estate activities,"51,626","56,044","59,425","63,964","67,603","71,236","75,597","81,024","86,153","91,109","93,974","97,963","103,066","108,223","115,914","122,198","128,539","133,153","135,890"
,"     Professional, scientific, and technical activities","21,025","24,150","28,154","31,824","36,067","39,203","44,086","49,494","56,069","59,561","65,665","70,367","75,479","81,098","86,838","93,215","96,106","100,263","105,981"
,     Administrative and support service activities,"12,831","12,928","14,423","16,904","18,733","20,635","22,542","25,311","28,280","28,075","32,852","35,167","37,574","40,962","44,361","48,704","51,112","54,233","55,851"
,     Public administration and defense; compulsory social security,"32,519","35,728","39,494","43,486","47,725","52,221","55,129","58,957","64,951","69,371","72,064","76,369","81,487","86,132","90,617","95,491","100,787","107,326","115,086"
,     Education,"29,014","32,984","36,984","41,443","45,828","49,062","53,708","58,340","64,287","66,770","68,692","71,484","73,365","76,522","79,125","82,134","84,528","87,880","90,933"
,     Human health and social work activities,"13,956","18,764","19,812","21,949","24,288","27,106","30,060","34,223","37,100","42,385","45,555","47,989","51,610","54,730","59,059","63,337","68,705","74,707","80,937"
,"     Arts, entertainment, and recreation",,,,,,,,,,,,,,,,,,,
,     Other service activities,"16,156","18,047","20,667","21,802","22,603","23,916","25,704","28,101","30,278","31,546","33,591","35,132","36,827","37,995","39,312","39,499","41,787","42,175","43,858"
,Gross value added at basic prices,"587,980","635,405","703,338","753,186","824,770","867,919","912,221","989,584","1,048,487","1,098,608","1,203,036","1,268,239","1,316,177","1,377,159","1,434,665","1,520,908","1,593,083","1,679,019","1,730,418"
,Plus: Taxes less subsidies on products,"63,655","71,616","81,403","84,179","83,669","89,529","93,381","100,076","105,730","106,740","119,575","120,698","123,935","123,660","128,264","137,113","147,697","156,680","163,079"
,Net factor income from abroad,"-4,360","-4,785","-2,913","-2,922","-1,575","-6,762","-2,937","-2,763",293,"-1,868","1,976","8,598","15,059","9,566","7,564","5,186","6,364","7,483","4,956"
,GNI,"647,274","702,236","781,829","834,443","906,865","950,685","1,002,665","1,086,897","1,154,510","1,203,480","1,324,587","1,397,535","1,455,170","1,510,385","1,570,493","1,663,207","1,747,144","1,843,181","1,898,453"
,,,,,,,,,,,,,,,,,,,,
,               Structure of Output   (% of GDP at current basic prices),,,,,,,,,,,,,,,,,,,
,               Agriculture,4.3,4.0,3.6,3.3,3.3,2.9,2.8,2.5,2.4,2.5,2.4,2.4,2.4,2.3,2.2,2.2,2.0,2.0,2.0
,               Industry,38.5,37.0,36.6,36.8,38.3,37.7,36.9,36.8,35.8,36.1,37.5,37.7,37.3,37.5,37.1,37.2,37.5,38.0,37.3
,               Services,57.2,59.1,59.8,59.9,58.5,59.4,60.3,60.6,61.9,61.4,60.1,59.9,60.3,60.2,60.6,60.6,60.5,60.0,60.7
,,,,,,,,,,,,,,,,,,,,
