MYANMAR,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Asian Development Bank (ADB),,,,,,,,,,,,,,,,,,,,
Key Indicators for Asia and the Pacific 2019,,,,,,,,,,,,,,,,,,,,
www.adb.org/statistics,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
,POPULATIONa,,,,,,,,,,,,,,,,,,,
,Total population    as of 1 October (million),46.1,46.6,47.1,47.6,48.1,48.5,48.8,49.2,49.5,49.8,50.2,50.6,51.0,51.4,52.0,52.5,52.9,53.4,53.9
,Population density   (persons/km2),68,69,70,70,71,72,72,73,73,74,74,75,75,76,77,78,78,79,79
,Population   (% annual change),1.2,1.2,1.1,1.0,0.9,0.9,0.8,0.7,0.6,0.6,0.7,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.9
,Urban population   (% of total population),27.0,27.2,27.4,27.6,27.8,27.9,28.1,28.3,28.5,28.7,28.9,29.1,29.3,29.5,29.2,29.3,29.4,29.5,30.0
,,,,,,,,,,,,,,,,,,,,
,LABOR FORCEb   fiscal year beginning 1 April (million) ,...,...,...,...,...,...,...,...,...,...,...,...,...,...,21.9 |,22.0,...,22.4,22.7
,Employed,...,...,...,...,...,...,...,...,...,...,...,...,...,...,21.0 |,21.8,...,21.9,22.5
,"     Agriculture, forestry, and fishing",...,...,...,...,...,...,...,...,...,...,...,...,...,...,11.2 |,11.6,...,10.7,10.7
,     Mining and quarrying,...,...,...,...,...,...,...,...,...,...,...,...,...,...,0.2 |,0.2,...,0.3,0.1
,     Manufacturing,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1.4 |,2.4,...,2.4,2.4
,"     Electricity, gas, steam, and air-conditioning supply; water supply; sewerage, waste
           management, and remediation activities",...,...,...,...,...,...,...,...,...,...,...,...,...,...,0.1 |,0.1,...,0.1,0.1
,     Construction,...,...,...,...,...,...,...,...,...,...,...,...,...,...,0.9 |,0.8,...,1.2,1.4
,     Wholesale and retail trade; repair of motor vehicles and motorcycles,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1.9 |,3.1,...,3.5,3.7
,     Transportation and storage,...,...,...,...,...,...,...,...,...,...,...,...,...,...,0.8 |,1.0,...,1.0,1.1
,     Accommodation and food service activities,...,...,...,...,...,...,...,...,...,...,...,...,...,...,1.0 |,0.3,...,0.4,0.4
,     Information and communication,...,...,...,...,...,...,...,...,...,...,...,...,...,...,0.0 |,0.1,...,0.0,0.0
,     Financial and insurance activities,...,...,...,...,...,...,...,...,...,...,...,...,...,...,0.0 |,0.1,...,0.1,0.1
,     Real estate activities,...,...,...,...,...,...,...,...,...,...,...,...,...,...,0.0 |,0.0,...,0.0,0.0
,     Other servicesc,...,...,...,...,...,...,...,...,...,...,...,...,...,...,3.4 |,2.3,...,2.2,2.5
,Unemployed ,...,...,...,...,...,...,...,...,...,...,...,...,...,...,0.9 |,0.2,...,0.5,0.2
,Unemployment rate   (%),...,...,...,...,...,...,...,...,...,...,...,...,...,...,4.0 |,0.8,...,2.2,0.9
,Labor force   (% annual change),...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
,Labor force participation rate   (%),...,...,...,...,...,...,...,...,...,...,...,...,...,...,67.0 |,64.7,...,61.5,62.0
,     Male,...,...,...,...,...,...,...,...,...,...,...,...,...,...,85.2 |,80.2,...,78.0,76.8
,     Female,...,...,...,...,...,...,...,...,...,...,...,...,...,...,50.5 |,51.6,...,47.7,49.6
,,,,,,,,,,,,,,,,,, ,,
,NATIONAL ACCOUNTS   fiscal year beginning 1 April (MK billion) ,,,,,,,,,,,,,,,,,,,
,At Current Prices,,,,,,,,,,,,,,,,,,,
,GDP by industrial origin at current producer prices,"2,552.7","3,548.5","5,625.3","7,716.6","9,078.9","12,286.8","16,852.8","23,336.1","29,233.3","33,894.0","39,776.8","46,307.9","51,259.3","58,011.6","65,261.9","72,714.0","79,760.1","90,450.9",...
,"     Agriculture, forestry, and fishing","1,461.2","2,025.1","3,067.4","3,906.2","4,372.9","5,736.4","7,401.6","10,109.8","11,773.7","12,916.4","14,659.0","15,048.3","15,680.3","17,133.0","18,162.3","19,466.8","20,313.7","21,106.5",...
,     Mining and quarrying,15.0,17.3,25.2,34.6,57.5,89.5,121.9,205.3,254.4,331.4,366.4,"2,710.7","3,164.2","3,467.6","4,797.5","4,447.5","3,505.2","4,324.8",...
,     Manufacturing,182.9,277.8,516.2,756.2,"1,051.6","1,572.9","2,358.1","3,473.9","4,917.3","6,127.6","7,900.5","9,132.5","10,299.2","11,553.5","13,007.2","15,130.4","18,189.4","21,575.9",...
,"     Electricity, gas, steam, and air-conditioning supply",3.4,3.2,4.7,6.0,20.0,27.7,110.0,189.8,218.2,337.7,421.9,481.4,614.9,695.9,926.9,"1,030.8","1,112.4","1,207.2",...
,"     Water supply; sewerage, waste management, and remediation activities",,,,,,,,,,,,,,,,,,,
,     Constructiond,46.0,77.1,185.6,303.5,356.8,461.7,652.0,893.7,"1,236.1","1,518.3","1,839.3","2,165.8","2,515.9","3,056.8","3,777.1","4,454.9","5,133.9","5,720.9",...
,     Wholesale and retail trade; repair of motor vehicles and motorcycles,613.7,858.1,"1,326.6","1,743.6","2,021.3","2,667.2","3,550.8","4,915.2","6,175.1","6,887.3","7,971.2","8,918.2","9,759.2","11,143.7","12,217.5","13,759.3","15,716.8","18,789.7",...
