ARMENIA,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Asian Development Bank (ADB),,,,,,,,,,,,,,,,,,,,
Key Indicators for Asia and the Pacific 2019,,,,,,,,,,,,,,,,,,,,
www.adb.org/statistics,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
,POPULATION,,,,,,,,,,,,,,,,,,,
,Total populationa   as of 1 July (million),3.2,3.2,3.2,3.2,3.2,3.1,3.1,3.1,3.1,3.1,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0*
,Population density   (persons/km2),108,108,108,107,106,106,105,105,104,103,102,102,102,102,101,101,101,100,100*
,Population   (% annual change),-0.3,-0.3,-0.4,-0.5,-0.6,-0.6,-0.6,-0.6,-0.7,-0.7,-0.7,-0.6,-0.1,-0.1,-0.3,-0.3,-0.4,-0.4,-0.3*
,Urban population   (% of total population),64.8,64.4,64.3,64.2,64.1,64.0,63.9,63.8,63.7,63.6,63.5,63.4,63.3,63.4,63.5,63.6,63.6,63.7,63.8*
,,,,,,,,,,,,,,,,,,,,
,LABOR FORCEb   calendar year ('000),"1,447","1,412 |","1,240","1,232","1,197","1,196","1,181","1,184 |","1,415","1,419","1,463","1,441","1,418","1,388 |","1,376","1,316","1,226","1,231","1,282*"
,Employedc,"1,278","1,265 |","1,106","1,108","1,082","1,098","1,092","1,102 |","1,183","1,153","1,185","1,175","1,173","1,164 |","1,134","1,073","1,006","1,012","1,074*"
,"     Agriculture, forestry, and fishing",567,570 |,501,509,507,508,505,507 |,445,455,457,457,437,422 |,395,379,338,317,...
,     Mining and quarrying,180,170 |,8,8,7,7,8,9 |,13,10,10,10,10,9 |,8,9,9,9,...
,     Manufacturing,,,119,115,112,114,111,104 |,79,70,70,84,94,97 |,95,84,83,92,...
,"     Electricity, gas, steam, and air-conditioning supply; water supply; 
          sewerage, waste management, and remediation activities",37,37 |,25,23,21,19,23,23 |,38,35,42,34,35,26 |,29,27,29,31,...
,     Construction,47,41 |,36,37,33,35,30,31 |,105,82,86,67,69,66 |,59,50,38,36,...
,     Wholesale and retail trade; repair of motor vehicles and motorcycles,107,111 |,98,102,103,109,106,106 |,106,97,110,111,114,115 |,124,113,116,113,...
,     Accommodation and food service activities,,,2,5,4,6,8,8 |,15,13,19,13,16,20 |,20,23,23,24,...
,     Transportation and storage,47,44 |,40,42,47,50,49,48 |,62,65,48,49,52,51 |,46,40,33,39,...
,     Information and communication,,,,,,,,,,,22,17,22,21 |,20,19,19,19,...
,     Financial and insurance activities,7,7 |,5,5,6,6,7,9 |,11,13,13,9,10,16 |,18,16,13,16,...
,     Real estate activities,...,... |,19,19,18,19,23,26 |,19,10,3,2,2,2 |,2,2,2,3,...
,     Other servicesd,287,286 |,254,242,224,226,225,231 |,291,304,307,321,312,318 |,319,311,303,312,...
,Unemployede,170,147 |,134,125,115,98,89,83 |,232,266,278,266,246,225 |,242,244,220,219,208*
,Unemployment ratee   (%),11.7,10.4 |,10.8,10.1,9.6,8.2,7.5,7.0 |,16.4,18.7,19.0,18.4,17.3,16.2 |,17.6,18.5,18.0,17.8,16.3*
,Labor force   (% annual change),-1.0,-2.5 |,…,-0.6,-2.9,-0.1,-1.2,0.3 |,…,0.3,3.2,-1.5,-1.6,-2.1 |,-0.9,-4.3,-6.7,0.4,4.2*
