CAMBODIA,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Asian Development Bank (ADB) ,,,,,,,,,,,,,,,,,,,,
Key Indicators for Asia and the Pacific 2019,,,,,,,,,,,,,,,,,,,,
www.adb.org/statistics,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
,POPULATION ,,,,,,,,,,,,,,,,,,,
,Total populationa  as of 1 July (million),12.5,12.6,12.8,13.0,13.1,13.3,13.5,13.7,13.8,13.9,14.1,14.3,14.5,14.7,14.9,15.1,15.2,15.4,15.6
,Population density   (persons/km2),69,70,71,72,73,74,75,76,76,77,78,79,80,81,82,83,84,85,86
,Population   (% annual change),1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.3
,Urban population   (% of total population),18.6,18.7,18.8,18.9,19.1,19.2,19.3,19.4,19.6,19.9,20.3,20.7,21.0,21.4,21.8,22.2,22.6,23.0,23.4
,,,,,,,,,,,,,,,,,,,,
,LABOR FORCE   calendar year ('000),"5,408.8","6,359.2",...,...,...,...,...,...,...,"7,015.1","7,113.3","7,262.5","7,299.4","8,148.7","8,250.0",...,...,...,...
,Employed,"5,275.2","6,243.3","6,399.7","6,947.6","7,495.6","7,649.4","6,758.4","6,816.7","6,934.8","7,004.1","7,086.3","7,246.5","7,287.4","8,124.7","8,235.0",...,...,...,...
,"     Agriculture, forestry, and fishing","3,889.0","4,384.3","4,479.8","4,499.8","4,519.8","4,612.6","4,885.6","4,927.8","5,013.1","5,063.3","5,122.7","5,168.9","5,178.0","5,225.7","5,296.6",...,...,...,...
,     Mining and quarrying,3.3,13.5,10.8,12.9,15.0,15.3,47.3,47.7,48.5,49.0,49.6,50.7,50.2,77.3,78.3,...,...,...,...
,     Manufacturing,367.3,544.8,556.4,634.2,712.1,726.7,571.8,576.7,586.7,592.5,599.5,635.2,653.8,657.1,666.0,...,...,...,...
,"     Electricity, gas, steam, and air-conditioning supply; water supply; sewerage, waste
          management, and remediation activities",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
,     Construction,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
,     Wholesale and retail trade; repair of motor vehicles and motorcycles,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
,     Accommodation and food service activities,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
,     Transportation and storage,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
,     Information and communication,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
,     Financial and insurance activities,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
,     Real estate activities,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
,     Other servicesb,"1,015.5","1,300.7","1,352.8","1,800.7","2,248.7","2,294.8","1,253.7","1,264.5","1,286.4","1,299.3","1,314.5","1,391.7","1,405.3","2,164.6","2,194.0",...,...,...,...
,Unemployed,133.6,115.8,...,...,...,...,...,...,...,11.0,27.0,16.0,12.0,24.0,15.0,...,...,...,...
,Unemployment rate   (%),2.5,1.8,...,...,...,...,...,...,0.4,0.2,0.4,0.2,0.2,0.3,0.2,...,...,...,...
,Labor force   (% annual change),...,17.6,...,...,...,...,...,...,...,...,1.4,2.1,0.5,11.6,1.2,...,...,...,...
,Labor force participation rate    (%),65.2,71.7,...,...,74.6,...,...,...,81.8,84.4,87.0,87.5,84.2,83.0,82.6,...,...,...,...
,     Male,66.2,72.1,...,...,78.9,...,...,...,88.8,88.8,90.0,90.4,89.1,88.7,87.9,...,...,...,...
,     Female,64.4,64.4,...,...,70.7,...,...,...,75.6,80.4,84.2,84.8,79.7,77.8,77.5,...,...,...,...
,,,,,,,,,,,,,,,,,,,,
,NATIONAL ACCOUNTS   calendar year (KR billion),,,,,,,,,,,,,,,,,,,
,At Current Prices,,,,,,,,,,,,,,,,,,,
,GDP by industrial origin at current market prices,"14,082.6","15,633.2","16,780.5","18,535.2","21,438.3","25,754.3","29,849.5","35,042.2","41,968.4","43,056.7","47,048.0","52,068.7","56,681.6","61,326.9","67,436.8","73,422.7","81,241.9","89,830.5","99,544.3"
,"     Agriculture, forestry, and fishing","5,058.3","5,365.4","5,223.6","5,925.8","6,300.7","7,909.2","8,972.4","10,406.3","13,745.1","14,420.0","15,938.3","17,993.5","18,999.4","19,376.3","19,469.9","19,516.0","20,101.4","20,985.7","21,912.6"
,     Mining and quarrying,33.5,39.8,47.7,57.9,73.8,96.7,114.8,134.9,164.6,195.9,279.5,329.7,438.9,541.4,774.9,983.2,"1,238.8","1,494.7","1,803.6"
,     Manufacturing,"2,254.8","2,621.6","2,954.7","3,374.2","4,026.7","4,585.5","5,541.4","6,073.8","6,441.1","6,207.6","6,913.2","7,900.2","8,552.0","9,499.9","10,383.6","11,757.7","12,994.8","14,542.3","16,274.9"
,"     Electricity, gas, steam, and air-conditioning supply",58.1,72.5,82.1,92.8,109.9,123.6,164.2,194.6,211.9,229.7,251.6,269.8,294.3,319.1,360.2,403.8,450.5,505.4,566.9
,"     Water supply; sewerage, waste management, and remediation activities",,,,,,,,,,,,,,,,,,,
,     Construction,731.6,750.3,985.4,"1,106.3","1,287.6","1,630.5","1,995.0","2,337.8","2,571.5","2,693.7","2,844.5","3,029.2","3,738.2","4,399.6","5,749.7","7,178.3","9,243.3","11,169.4","13,496.8"
,     Wholesale and retail trade; repair of motor vehicles and motorcycles,"1,512.0","1,609.3","1,657.8","1,761.1","2,009.0","2,364.3","2,662.3","3,125.9","3,719.8","3,878.1","4,378.4","4,763.3","5,107.2","5,561.2","6,317.9","6,940.3","7,692.5","8,521.2","9,439.2"
,     Accommodation and food service activities,520.9,686.4,857.0,720.0,893.2,"1,116.7","1,306.2","1,519.2","1,899.0","1,933.5","2,101.7","2,250.8","2,615.0","3,081.9","3,437.4","3,561.8","3,809.3","4,100.3","4,413.4"
,     Transportation and storage,930.1,"1,088.9","1,160.0","1,245.6","1,518.9","1,903.8","2,115.0","2,423.4","3,102.0","3,223.6","3,565.3","3,961.0","4,263.9","4,747.2","5,366.1","5,910.2","6,675.5","7,265.5","7,907.7"
,     Information and communication,,,,,,,,,,,,,,,,,,,
,     Financial and insurance activities,175.1,152.5,169.7,184.1,232.3,294.1,377.6,490.6,549.5,594.1,670.1,796.9,922.7,"1,014.2","1,253.2","1,389.1","1,555.6","1,741.4","1,949.3"
,     Real estate activities,855.0,967.1,"1,071.4","1,289.2","1,534.6","1,700.7","1,946.6","2,197.7","2,703.2","2,641.0","2,580.3","2,727.9","3,176.0","3,492.5","4,093.6","4,701.8","5,448.7","6,256.6","7,184.4"
,"     Professional, scientific, and technical activities",,,,,,,,,,,,,,,,,,,
,     Administrative and support service activities,,,,,,,,,,,,,,,,,,,
,     Public administration and defense; compulsory social security,376.6,359.2,390.5,405.7,419.1,463.9,515.1,667.7,767.8,768.5,806.9,844.0,858.3,896.8,953.8,"1,022.3","1,098.6","1,182.4","1,272.7"
,     Education,,,,,,,,,,,,,,,,,,,
,     Human health and social work activities,,,,,,,,,,,,,,,,,,,
,"     Arts, entertainment, and recreation",,,,,,,,,,,,,,,,,,,
,     Other service activities,861.2,"1,138.6","1,291.3","1,474.5","1,815.6","2,220.5","2,634.0","3,068.8","3,559.8","3,662.8","3,919.2","4,184.0","4,465.5","4,821.8","5,352.9","5,720.7","6,123.9","6,615.0","7,145.4"
,"     Activities of households as employers; undifferentiated goods- and services-producing
         activities of households for own use",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
,     Activities of extraterritorial organizations and bodies,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
,Gross value added at basic prices,"13,367.2","14,851.6","15,891.2","17,637.2","20,221.3","24,409.7","28,344.8","32,640.7","39,435.4","40,448.5","44,249.0","49,050.3","53,431.5","57,751.7","63,513.3","69,085.3","76,432.8","84,379.9","93,367.0"
,Less: Imputed bank service charges,154.8,139.1,151.1,167.2,206.2,252.9,290.5,386.2,420.9,471.9,529.1,568.5,661.3,728.7,848.5,926.7,"1,037.5","1,149.2","1,273.1"
,Taxes less subsidies on products,870.2,920.7,"1,040.4","1,065.2","1,423.2","1,597.5","1,795.2","2,787.6","2,953.9","3,080.2","3,328.2","3,586.9","3,911.3","4,303.9","4,772.0","5,264.1","5,846.5","6,599.9","7,450.4"
,Net factor income from abroad,...,...,...,...,-195.0,-277.1,-369.0,-389.6,-406.9,-382.9,-415.6,-421.0,-422.1,-457.4,...,...,...,...,...
