JAPAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank (ADB) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Key Indicators for Asia and the Pacific 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
www.adb.org/statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,,,,,,,,,,,,,,,,,,,,,,
,POPULATION ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total population   as of 1 July (million) ,126.8,127.1,127.4,127.7,127.8,127.8,127.9,128.0,128.1,128.0,128.1,127.8,127.6,127.4,127.3,127.1,127.0,126.8,126.5,,,,,,,,,,,,,,,,,,,,,,
,Population density   (persons/km2),340,341,342,342,343,343,343,343,344,344,344,343,342,342,341,341,341,340,340,,,,,,,,,,,,,,,,,,,,,,
,Population   (% annual change),0.17,0.24,0.23,0.21,0.03,0.01,0.06,0.11,0.05,-0.01,0.02,-0.19,-0.16,-0.14,-0.13,-0.11,-0.11,-0.16,-0.20,,,,,,,,,,,,,,,,,,,,,,
,Urban population   (% of total population)  ,78.6,80.0,81.6,83.2,84.6,86.0,87.1,88.1,89.1,90.0,90.8,91.1,91.1,91.2,91.3,91.4,91.5,91.5,91.6,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,LABOR FORCEa  calendar year ('000),"67,660","67,520","66,890","66,660","66,420","66,510","66,640","66,840","66,740","66,500","66,320","65,960","65,650","65,930","66,090","66,250","66,730","67,200","68,300",,,,,,,,,,,,,,,,,,,,,,
,Employed ,"64,460","64,120","63,300","63,160","63,290","63,560","63,890","64,270","64,090","63,140","62,980","62,930","62,800","63,260","63,710","64,010","64,650","65,300","66,640",,,,,,,,,,,,,,,,,,,,,,
,"Agriculture, forestry, and fishing","3,260","3,130","2,960","2,930","2,860","2,820","2,720","2,730","2,700","2,640","2,550","2,490","2,410","2,340","2,310","2,290","2,230","2,210","2,280",,,,,,,,,,,,,,,,,,,,,,
,Mining and quarrying,50,50,50,50,40,30,30,40,30,30,30,30,30,30,30,30,30,30,30,,,,,,,,,,,,,,,,,,,,,,
,Manufacturing,"13,210","12,840","12,020","11,780","11,500","11,420","11,630","11,700","11,510","10,820","10,600","10,490","10,330","10,410","10,430","10,390","10,450","10,520","10,600",,,,,,,,,,,,,,,,,,,,,,
,"Electricity, gas, steam, and air-conditioning supply; water supply; sewerage, waste management, and remediation activities",340,340,340,320,310,350,360,330,320,340,340,310,320,310,290,290,300,290,280,,,,,,,,,,,,,,,,,,,,,,
,Construction,"6,530","6,320","6,180","6,040","5,840","5,680","5,600","5,540","5,410","5,220","5,040","5,020","5,030","5,000","5,070","5,020","4,950","4,980","5,030",,,,,,,,,,,,,,,,,,,,,,
,Wholesale and retail trade; repair of motor vehicles and motorcycles,"14,740","14,730","11,080","10,950","10,850","10,840","10,760","10,790","10,700","10,590","10,620","10,580","10,440","10,600","10,620","10,580","10,630","10,750","10,720",,,,,,,,,,,,,,,,,,,,,,
,Accommodation and food service activities,,,"3,960","3,880","3,850","3,810","3,740","3,790","3,720","3,790","3,860","3,820","3,760","3,850","3,860","3,840","3,910","3,910","4,160",,,,,,,,,,,,,,,,,,,,,,
,Transportation and storage,"4,140","4,070","3,270","3,350","3,260","3,200","3,280","3,310","3,430","3,500","3,520","3,520","3,400","3,410","3,370","3,360","3,390","3,400","3,410",,,,,,,,,,,,,,,,,,,,,,
,Information and communication,,,"1,580","1,630","1,710","1,750","1,800","1,920","1,900","1,940","1,970","1,910","1,880","1,920","2,040","2,090","2,080","2,130","2,200",,,,,,,,,,,,,,,,,,,,,,
,Financial and insurance activities,"2,480","2,400","1,690","1,610","1,590","1,570","1,550","1,550","1,640","1,650","1,630","1,620","1,640","1,650","1,550","1,540","1,630","1,680","1,630",,,,,,,,,,,,,,,,,,,,,,
,Real estate activities,,,"1,010",970,980,"1,010","1,070","1,130","1,110","1,100","1,100","1,130","1,120","1,110","1,130","1,210","1,240","1,250","1,300",,,,,,,,,,,,,,,,,,,,,,
,Other services,"19,710","20,240","19,160","19,650","20,500","21,080","21,350","21,440","21,620","21,520","21,720","22,010","22,440","22,630","23,010","23,370","23,810","24,150","25,000",,,,,,,,,,,,,,,,,,,,,,
,Unemployed ,"3,200","3,400","3,590","3,500","3,130","2,940","2,750","2,570","2,650","3,360","3,340","3,020","2,850","2,650","2,360","2,220","2,080","1,900","1,660",,,,,,,,,,,,,,,,,,,,,,
,Unemployment rate   (%),4.7,5.0,5.4,5.3,4.7,4.4,4.1,3.9,4.0,5.1,5.1,4.6,4.3,4.0,3.6,3.4,3.1,2.8,2.1,,,,,,,,,,,,,,,,,,,,,,
,Labor force   (% annual change),-0.2,-0.2,-0.9,-0.3,-0.4,0.1,0.2,0.3,-0.1,-0.4,-0.3,-0.5,-0.5,0.4,0.2,0.2,0.7,0.7,1.6,,,,,,,,,,,,,,,,,,,,,,
,Labor force participation rate   (%),62.4,62.0,61.2,60.8,60.4,60.4,60.4,60.4,60.2,59.9,59.6,59.3,59.1,59.3,59.4,59.6,60.0,60.5,61.5,,,,,,,,,,,,,,,,,,,,,,
,     Male,76.4,75.7,74.7,74.1,73.4,73.3,73.2,73.1,72.8,72.0,71.6,71.1,70.8,70.5,70.4,70.3,70.4,70.5,71.2,,,,,,,,,,,,,,,,,,,,,,
,     Female,49.3,49.2,48.5,48.3,48.3,48.4,48.5,48.5,48.4,48.5,48.5,48.2,48.2,48.9,49.2,49.6,50.3,51.1,52.5,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NATIONAL ACCOUNTSb  calendar year (¥ billion),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,At Current Prices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GDP by industrial origin at current market prices,"526,706","523,005","515,986","515,401","520,965","524,133","526,880","531,688","520,716","489,501","500,354","491,409","494,957","503,176","513,876","531,320","535,986","545,122","548,812",,,,,,,,,,,,,,,,,,,,,,
