MALAYSIA,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Asian Development Bank (ADB),,,,,,,,,,,,,,,,,,,,
Key Indicators for Asia and the Pacific 2019,,,,,,,,,,,,,,,,,,,,
www.adb.org/statistics,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
,POPULATION ,,,,,,,,,,,,,,,,, ,,
,Total population  as of 1 July (million),23.49,24.03,24.54,25.04,25.54,26.05,26.55,27.06,27.57,28.08,28.59,29.06,29.51,30.20,30.70,31.20,31.60,32.00,32.40
,Population density   (persons/km2),71,73,74,76,77,79,80,82,83,85,86,88,89,91,93,94,96,97,98
,Population   (% annual change),2.5,2.4,2.3,2.1,2.1,2.1,2.0,2.0,2.0,1.9,1.8,1.6,1.5,2.3,1.6,1.5,1.4,1.2,1.1
,Urban population   (% of total population),62.0,62.9,63.8,64.8,65.6,66.5,67.4,68.3,69.2,70.1,71.0,71.7,72.4,73.0,73.6,74.3,74.8,75.2,75.6
,,,,,,,,,,,,,,,,,,,,
,LABOR FORCE   calendar year ('000),"9,556","9,699","9,887","10,240","10,346","10,413","10,629","10,890","11,028","11,315","12,304","12,741","13,222","13,981","14,264","14,518","14,668","14,980","15,280"
,Employed,"9,269","9,357","9,543","9,870","9,980","10,045","10,275","10,538","10,660","10,897","11,900","12,352","12,821","13,545","13,853","14,068","14,164","14,477","14,776"
,"     Agriculture, forestry, and fishing","1,552","1,416","1,424","1,408","1,453","1,470","1,504","1,558","1,488","1,471","1,615","1,422","1,628","1,759","1,694","1,754","1,610","1,635","1,570"
,      Mining and quarrying,28,27,28,30,35,36,42,39,55,63,57,74,81,88,85,104,96,97,91
,      Manufacturing,"2,174","2,184","2,069","2,131","2,023","1,989","2,083","1,977","1,945","1,807","2,109","2,244","2,264","2,316","2,373","2,323","2,391","2,513","2,500"
,"      Electricity, gas, steam, and air-conditioning supply; water supply; sewerage, waste
          management, and remediation activities",49,57,51,58,58,57,75,61,61,58,56,123,143,145,147,134,154,143,152
,      Construction,760,830,905,943,891,904,909,923,998,"1,016","1,083","1,152","1,175","1,292","1,278","1,310","1,252","1,259","1,258"
,      Wholesale and retail trade; repair of motor vehicles and motorcyclesa,"1,787","1,458","1,497","1,592","1,607","1,620","1,651","1,712","1,729","1,832","1,888","2,005","2,126","2,261","2,324","2,361","2,429","2,485","2,555"
,      Accommodation and food service activities,–,585,616,644,698,672,721,761,784,801,857,951,965,"1,042","1,149","1,151","1,261","1,323","1,473"
,      Transportation and storageb,434,468,497,482,533,545,540,538,583,592,555,604,624,627,598,615,630,658,698
