INDONESIA,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Asian Development Bank (ADB) ,,,,,,,,,,,,,,,,,,,,
Key Indicators for Asia and the Pacific 2019,,,,,,,,,,,,,,,,,,,,
www.adb.org/statistics,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
,POPULATION ,,,,,,,,,,,,,,,,,,,
,Total populationa   as of 1 July (million),206.3,208.6,211.4,214.3,217.1,219.9,222.7,225.6,228.5,231.4,237.6,242.0,245.4,248.8,252.2,255.5,258.7,261.9,265.0
,Population density  (persons/km2),108,109,111,112,114,115,117,118,120,121,125,127,128,130,132,134,135,137,138
,Population  (% annual change),1.2,1.4,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.2,2.7,1.5,1.4,1.4,1.3,1.3,1.3,1.3,1.3
,Urban population (% of total population),42.0,42.8,43.6,44.4,45.1,45.9,46.7,47.5,48.3,49.1,49.9,50.6,51.3,52.0,52.6,53.3,54.0,54.7,50.2
,,,,,,,,,,,,,,,,,,,,
,LABOR FORCE   calendar year ('000),"95,651","98,812","100,779","102,750","103,973","105,858","106,389","109,941","111,947","113,833","116,528","116,098","119,850","120,172","121,873","122,380","125,444","128,063","131,006"
,Employed,"89,838","90,807","91,647","92,811","93,722","93,958","95,457","99,930","102,553","104,871","108,208","107,416","112,505","112,761","114,628","114,819","118,412","121,022","124,005"
,     Agriculture,"40,677","39,744","40,634","43,042","40,608","41,310","40,136","41,206","41,332","41,612","41,495","39,090","39,592","39,220","38,973","37,750","37,774","35,925","35,703"
,     Mining and quarrying,452,950,632,733,"1,035",904,924,995,"1,071","1,155","1,255","1,434","1,601","1,424","1,435","1,317","1,470","1,387","1,454"
,     Manufacturing,"11,642","12,086","12,110","11,496","11,070","11,953","11,890","12,369","12,549","12,840","13,824","14,835","16,140","15,549","15,621","15,538","15,875","17,559","18,251"
,"     Electricity, gas, steam, and air-conditioning supply; water supply; sewerage, waste
          management, and remediation activities",71,141,178,152,231,195,228,175,201,223,234,348,361,378,428,469,501,717,810
,     Construction,"3,497","3,838","4,274","4,055","4,540","4,565","4,697","5,253","5,439","5,487","5,593","6,264","6,851","6,349","7,280","8,208","7,979","8,137","8,300"
, Wholesale and retail trade; repair of motor vehicles and motorcycles,,,,,,,,,,,,,"20,721","20,984","20,937","21,347","21,554","22,477","23,074"
,     Accommodation and food service activities,"18,489","17,469","17,795","17,249","19,119","17,909","19,216","20,555","21,222","21,948","22,492","23,062","3,781","4,244","4,818","5,238","6,252","6,905","7,662"
,     Transportation and storage,"4,554","4,448","4,673","4,940","5,481","5,653","5,664","5,959","6,180","6,118","5,619","5,100","4,589","4,628","4,610","4,621","4,970","5,064","5,399"
,     Information and communication,,,,,,,,,,,,,536,538,570,541,684,819,895
,     Financial and insurance activities,883,"1,128",992,"1,307","1,125","1,142","1,346","1,399","1,460","1,487","1,739","1,414","1,615","1,692","1,779","1,670","1,731","1,725","1,797"
,     Real estate activities,,,,,,,,,,,,,216,196,267,290,356,305,390
,     Others,"9,574","11,003","10,360","9,838","10,513","10,327","11,356","12,020","13,100","14,002","15,956","15,871","16,717","17,754","18,178","17,829","19,268","19,924","20,271"
,Unemployed,"5,813","8,005","9,132","9,939","10,251","11,899","10,932","10,011","9,395","8,963","8,320","8,681","7,345","7,411","7,245","7,561","7,032","7,040","7,001"
,Unemployment rate    (%),6.1,8.1,9.1,9.7,9.9,11.2,10.3,9.1,8.4,7.9,7.1,7.5,6.1,6.2,5.9,6.2,5.6,5.5,5.3
,Labor force  (% annual change),0.8,3.3,2.0,2.0,1.2,1.8,0.5,3.3,1.8,1.7,2.4,-0.4,3.2,0.3,1.4,0.4,2.5,2.1,2.3
,Labor force participation rate  (%),67.8,68.6,67.8,67.9,67.6,66.8,66.2,67.0,67.2,67.2,67.7,66.8,67.8,66.8,66.6,65.8,66.3,66.7,67.3
,     Male,84.2,85.8,85.6,85.7,86.0,84.9,84.2,93.7,93.5,93.7,83.8,83.9,84.2,83.4,83.1,82.7,82.0,82.5,82.7
,     Female,51.7,51.8,50.1,50.2,49.2,48.4,48.1,50.3,51.1,51.0,51.8,49.8,51.4,50.3,50.2,48.9,50.8,50.9,51.9
,,,,,,,,,,,,,,,,,,,,
,NATIONAL ACCOUNTSb  calendar year  (Rp trillion),,,,,,,,,,,,,,,,,,,
,At Current Prices,,,,,,,,,,,,,,,,,,,
,GDP by industrial origin at current market prices,"1,389.8","1,646.3","1,821.8","2,013.7","2,295.8","2,774.3","3,339.2","3,950.9","4,948.7","5,606.2","6,864.1","7,831.7","8,615.7","9,546.1","10,569.7","11,526.3","12,401.7","13,587.2","14,837.4"
,"Agriculture, forestry, and fishing",216.8,251.7,281.6,305.8,329.1,364.2,433.2,541.9,716.7,857.2,956.1,"1,058.2","1,152.3","1,275.0","1,409.7","1,555.2","1,671.6","1,787.3","1,900.3"
,Mining and quarrying,167.7,181.8,160.9,167.6,205.3,309.0,366.5,440.6,541.3,592.1,718.1,924.8,"1,000.3","1,050.7","1,039.4",881.7,890.9,"1,029.6","1,199.0"
,Manufacturing,385.6,478.3,523.2,568.9,644.3,760.4,919.5,"1,068.7","1,376.4","1,477.5","1,512.8","1,704.3","1,848.2","2,007.4","2,227.6","2,418.9","2,545.2","2,739.7","2,947.3"
,"Electricity, gas, steam, and air-conditioning supply",7.0,9.3,12.8,16.3,20.6,23.1,26.2,30.0,35.7,41.4,72.5,91.7,95.6,98.7,114.9,129.8,142.3,162.3,176.3
,"Water supply; sewerage, waste management, and remediation activities",1.4,1.6,2.5,2.9,3.1,3.6,4.1,4.8,5.2,5.2,5.8,6.2,6.6,7.2,7.8,8.5,8.9,9.4,10.0
,Construction,76.6,93.8,110.5,125.3,151.2,195.1,251.1,305.0,419.7,555.2,626.9,712.2,805.2,906.0,"1,041.9","1,177.1","1,287.6","1,410.5","1,562.3"
,Wholesale and retail trade; repair of motor vehicles and motorcycles,185.0,221.3,243.1,260.6,287.6,338.7,393.0,468.7,551.3,586.1,923.9,"1,066.1","1,138.5","1,261.1","1,419.2","1,532.9","1,635.4","1,768.9","1,931.9"
,Accommodation and food service activities,39.5,43.7,69.1,74.5,81.0,93.0,108.5,123.6,140.1,158.4,200.3,224.2,252.6,289.5,321.1,341.6,363.1,386.9,412.5
,Transportation and storage,46.8,56.5,66.1,79.5,88.3,110.2,142.8,150.0,171.2,182.9,245.4,276.1,313.2,375.3,467.0,578.5,645.0,735.2,797.3
,Information and communication,18.3,20.7,31.9,39.4,54.0,70.4,88.8,114.3,140.9,170.8,256.0,281.8,311.4,341.0,369.5,406.0,449.2,513.7,559.1
