NAURU,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Asian Development Bank (ADB),,,,,,,,,,,,,,,,,,,,
Key Indicators for Asia and the Pacific 2019,,,,,,,,,,,,,,,,,,,,
www.adb.org/statistics,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
,POPULATION ,,,,,,,,,,,,,,,,,,,
,Total populationa  as of 1 July ('000),10.1,10.1,10.1,9.9,9.7,9.5,9.1,9.2,9.4,9.5,9.7,10.1,10.3,10.8 |,10.7,10.8,11.0,11.2,11.4
,Population density   (persons/km2),471,472,473,473,471,450,431,437,444,452,461,471,482,514,508,516,524,533,541
,Populationa   (% annual change),1.0,-0.2,-0.4,-1.9,-2.1,-2.2,-3.9,1.5,1.6,1.8,1.9,3.7,2.1,4.9 |,1.7,1.7,1.6,1.6,1.6
,Urban population   (% of total population),100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
,,,,,,,,,,,,,,,,,,,,
,LABOR FORCEb   fiscal year ending 30 June ,...,...,...,...,...,...,...,...,...,...,...,"3,952.0 |",...,"3,884.0*",...,...,...,...,...
,Employed,...,...,...,...,...,...,...,...,...,...,...,"3,046.0 |",...,"3,843.0*",...,...,...,...,...
,"     Agriculture, forestry, and fishing",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
,     Mining and quarrying,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
,     Manufacturing,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
,"     Electricity, gas, steam, and air-conditioning supply; water supply; sewerage, 
          waste management, and remediation activities",...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
,     Construction,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
,     Wholesale and retail trade; repair of motor vehicles and motorcycles,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
,     Accommodation and food service activities,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
,     Transportation and storage,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
,     Information and communication,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
,     Financial and insurance activities,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
,     Real estate activities,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
,     Other services,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
,Unpaid Work,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
,Unemployed ,...,...,...,...,...,...,...,...,...,...,...,906.0 |,...,41.0*,...,...,...,...,...
,Unemployment rate   (%),...,...,...,...,...,...,...,...,...,...,...,22.9 |,...,1.0*,...,...,...,...,...
,Labor force   (% annual change),...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
,Labor force participation rate   (%),...,...,...,...,...,...,...,...,...,...,...,64.0 |,...,60.8*,...,...,...,...,...
,     Male,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
,     Female,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
,,,,,,,,,,,,,,,,,,,,
,NATIONAL ACCOUNTS   fiscal year ending 30 June (A$ million),,,,,,,,,,,,,,,,,,,
,At Current Prices,,,,,,,,,,,,,,,,,,,
,GDP by industrial origin at current market prices,...,...,...,...,44.0,40.7,37.8,26.0,43.9,60.2,55.9,73.7,100.7,105.9,127.5,120.2,140.2*,151.0*,146.7*
,"     Agriculture, forestry, and fishing",...,...,...,...,1.9,2.1,2.4,2.6,2.6,3.3,3.3,3.0,3.0,3.6,4.0,4.4,...,...,...
,     Mining and quarrying,...,...,...,...,0.2,0.1,0.0,0.1,0.8,1.4,1.2,2.5,2.0,1.4,1.3,-1.4,...,...,...
,     Manufacturing,...,...,...,...,3.1,1.2,-0.1,2.0,13.7,20.3,11.4,23.3,46.3,33.5,20.6,-0.0,...,...,...
,"     Electricity, gas, steam, and air-conditioning supply",...,...,...,...,2.1,2.1,2.1,0.7,0.8,2.4,3.5,2.1,2.2,2.4,3.8,5.1,...,...,...
,"     Water supply; sewerage, waste management, and remediation activities",,,,,,,,,,,,,,,,,,,
,     Construction,...,...,...,...,0.2,0.2,1.6,0.2,1.1,1.1,1.0,1.2,1.2,1.5,2.3,2.9,...,...,...
,     Wholesale and retail trade; repair of motor vehicles and motorcycles,...,...,...,...,4.7,4.1,4.6,3.8,3.4,4.4,4.5,4.6,6.6,13.3,20.1,21.2,...,...,...
,     Accommodation and food service activities,...,...,...,...,3.1,3.2,2.4,2.5,2.2,2.6,1.2,1.3,1.7,6.3,11.4,11.5,...,...,...
,     Transportation and storage,...,...,...,...,9.6,8.4,4.2,-0.7,5.8,3.7,5.0,13.2,12.6,11.4,18.4,19.1,...,...,...
,     Information and communication,,,,,,,,,,,,,,,,,,,
,     Financial and insurance activities,...,...,...,...,1.6,1.6,1.8,2.0,2.3,3.9,5.2,6.2,4.8,6.1,8.0,11.4,...,...,...
,     Public administration and defense; compulsory social security,...,...,...,...,11.5,11.5,11.6,4.1,4.1,5.3,5.8,6.3,6.6,7.9,11.5,22.8,...,...,...
,     Education,...,...,...,...,0.8,0.8,0.9,1.1,1.5,1.5,1.4,1.4,1.6,1.8,1.9,2.2,...,...,...
,     Human health and social work activities,...,...,...,...,1.0,1.0,1.2,1.4,1.6,1.6,1.8,1.7,2.4,2.5,2.7,2.9,...,...,...
,"     Arts, entertainment, and recreation",…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,...,...,...
,     Other service activitiesc,...,...,...,...,3.8,3.9,3.8,4.5,4.7,5.8,7.0,6.9,7.2,6.5,6.9,6.8,...,...,...
,Gross value added at basic prices,...,...,...,...,43.5,40.3,36.7,24.3,44.6,57.2,52.5,73.7,98.1,98.1,112.8,109.0,...,...,...
,Taxes less subsidies on production and imports,...,...,...,...,0.5,0.5,1.1,1.8,-0.7,3.0,3.4,-0.0,2.6,7.8,14.7,11.1,...,...,...
,Net factor income from abroad,...,...,...,...,...,...,...,...,...,...,...,...,...,23.6,24.6,28.8,35.6*,40.6*,43.6*
,GNI ,...,...,...,...,...,...,...,...,...,...,...,...,...,129.5,152.1,148.9,175.8*,191.6*,190.3*
,,,,,,,,,,,,,,,,,,,,
,              Structure of Output   (% of GDP at current basic prices),,,,,,,,,,,,,,,,,,,
,               Agriculture,...,...,...,..., 4.3 , 5.2 , 6.7 , 10.7 , 5.9 , 5.7 , 6.3 , 4.1 , 3.1 , 3.6 , 3.6 , 4.0 ,...,...,...
