NEW ZEALAND,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Asian Development Bank (ADB) ,,,,,,,,,,,,,,,,,,,,
Key Indicators for Asia and the Pacific 2019,,,,,,,,,,,,,,,,,,,,
www.adb.org/statistics,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
,POPULATION ,,,,,,,,,,,,,,,,,,,
,Total population  as of 1 July  (million),3.9,3.9,3.9,4.0,4.1,4.1,4.2,4.2,4.3,4.3,4.4,4.4,4.4,4.4,4.5,4.6,4.7,4.8,4.9
,Population density   (persons/km2),14,14,15,15,15,15,16,16,16,16,16,16,16,17,17,17,18,18,18
,Population  (% annual change),0.6,0.6,1.7,2.0,1.5,1.1,1.2,1.0,1.0,0.8,1.1,0.8,0.5,0.8,1.5,1.9,2.1,2.1,1.9
,Urban populationa   (% of total population),83.5,83.6,83.7,83.7,83.8,83.8,83.8,83.8,83.8,83.7,83.7,83.5,83.5,83.6,83.9,83.9,84.0,84.1,84.1
,,,,,,,,,,,,,,,,,,,,
,LABOR FORCEb   calendar year ('000),"1,916.8","1,951.0","2,010.8","2,050.7","2,107.4","2,164.9","2,216.9","2,251.0","2,270.5","2,287.2","2,307.8","2,340.2","2,346.3","2,363.2","2,436.0","2,490.6","2,598.1","2,694.5","2,753.9"
,Employedc,"1,799.1","1,844.7","1,904.6","1,953.3","2,022.8","2,082.3","2,131.5","2,168.5","2,175.9","2,147.0","2,156.7","2,188.2","2,183.5","2,227.0","2,305.0","2,357.0","2,465.5","2,567.9","2,635.5"
,"     Agriculture, forestry, and fishingc",157.9,168.8,167.8,153.6,148.2,144.0,148.6,150.2,144.7,139.4,145.3,151.2,147.5,144.0,144.0,144.6,160.4,159.8,152.5
,     Mining and quarrying,...,...,...,4.4,4.9,5.8,6.4,6.8,5.7,6.7,6.8,7.1,6.9,7.0,6.9,6.5,4.4,4.3,5.1
,     Manufacturingc,226.5,231.0,237.6,277.9,287.3,278.9,274.0,272.0,271.2,248.0,245.1,246.4,242.0,244.0,244.6,257.0,243.0,252.5,249.9
,"     Electricity, gas, steam, and air-conditioning supply; water supply; sewerage,  
         waste management, and remediation activities",...,...,...,13.9,15.0,14.3,13.6,14.2,17.3,14.6,16.8,16.6,17.5,18.0,20.9,22.5,20.4,23.0,22.4
,     Construction,...,...,...,144.4,156.9,166.9,189.2,189.3,181.6,179.0,176.5,168.7,166.9,173.0,199.3,222.8,229.1,246.2,244.1
,     Wholesale and retail trade; repair of motor vehicles and motorcyclesd,...,...,...,409.9,415.1,425.2,426.8,444.0,444.1,432.3,433.9,436.8,424.1,433.0,445.7,446.9,476.6,492.9,503.1
,     Accommodation and food service activities,,,,,,,,,,,,,,,,,,,
,     Transportation and storagee,...,...,...,92.8,98.2,98.7,96.2,95.2,99.9,93.2,91.3,94.8,104.6,106.0,103.6,100.6,100.0,107.3,113.2
,     Information and communication,...,...,...,36.1,37.6,37.4,38.5,38.5,40.1,40.9,43.2,43.4,42.6,44.0,42.2,43.2,41.0,41.8,42.8
,     Financial and insurance activities,...,...,...,55.0,60.0,65.0,70.1,71.0,68.6,68.3,61.9,65.7,68.7,70.0,69.6,68.8,69.8,72.2,74.6
,     Real estate activities,...,...,...,30.9,33.6,36.1,37.7,38.1,38.8,39.0,36.6,36.6,36.2,38.0,38.0,38.4,43.3,52.5,53.8
,"     Other servicesc,f","1,192.8","1,222.5","1,260.3",734.6,766.2,810.2,830.4,849.3,864.1,885.8,899.3,921.0,926.6,952.0,990.4,"1,005.7","1,077.5","1,115.3","1,173.9"
,Unemployed,117.7,106.3,106.3,97.4,84.6,82.5,85.4,82.5,94.6,140.2,151.1,152.0,162.8,136.2,131.0,133.6,132.6,126.6,118.4
,Unemployment rate  (%),6.1,5.4,5.3,4.8,4.0,3.8,3.9,3.7,4.2,6.1,6.5,6.5,6.9,5.8,5.4,5.4,5.1,4.7,4.3
,Labor force  (% annual change),0.9,1.8,3.1,2.0,2.8,2.7,2.4,1.5,0.9,0.7,0.9,1.4,0.3,0.7,3.1,2.2,4.3,3.7,2.2
,Labor force participation rate  (%),65.2,65.8,66.5,66.3,66.9,67.7,68.2,68.5,68.4,68.2,68.0,68.3,68.0,67.8,68.7,68.7,69.8,70.7,70.7
,     Male,73.6,73.8,74.6,73.8,74.5,75.1,75.6,75.6,75.2,74.6,74.4,74.6,73.9,73.5,74.3,74.3,75.3,76.2,76.0
,     Female,57.4,58.3,59.0,59.3,59.8,60.8,61.3,61.8,62.1,62.1,62.0,62.5,62.6,62.5,63.4,63.4,64.5,65.4,65.7
,,,,,,,,,,,,,,,,,,,,
,NATIONAL ACCOUNTS   fiscal year beginning 1 April (NZ$ million),,,,,,,,,,,,,,,,,,,
,At Current Prices,,,,,,,,,,,,,,,,,,,
,GDP by industrial origin  at current market prices,"119,839","128,712","135,181","144,502","154,559","162,937","172,113","186,846","189,618","194,251","203,433","213,241","217,472","232,646","242,092","254,112","269,857","284,685",...
,"     Agriculture, forestry, and fishing","9,291","10,273","7,912","8,278","8,293","7,361","8,572","11,326","9,494","11,172","13,394","13,386","11,998","16,373","11,593","11,415","15,296",...,...
