PAKISTAN,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Asian Development Bank (ADB) ,,,,,,,,,,,,,,,,,,,,
Key Indicators for Asia and the Pacific 2019,,,,,,,,,,,,,,,,,,,,
www.adb.org/statistics,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
,POPULATIONa, ,,,,,,,,,,,,,,,,,,
,Total population    as of 1 July (million),140.0,142.9,146.0,149.3,152.7,156.0,159.5,162.9,166.4,169.9,173.5,177.1,180.7,184.3,188.0,191.7,195.4 |,207.8* |,212.8
,Population density   (persons/km2),176,179,183,188,192,196,200,205,209,213,218,222,227,232,236,241,245 |,261* |,267
,Populationb    (% annual change),2.4,2.1,2.2,2.3,2.2,2.2,2.2,2.2,2.1,2.1,2.1,2.1,2.0,2.0,2.0,2.0,1.9 |,2.4* |,2.4
,Urban population   (% of total population),33.0,33.2,33.1,33.2,33.6,34.6,35.0,34.9,35.3,35.8,36.3,36.9,37.4,37.9,38.6,39.2,39.9 |,36.4* |,36.4
,,,,,,,,,,,,,,,,,,,,
,LABOR FORCE   fiscal year ending 30 June (million),40.5,41.4,43.2,44.1,45.8,46.8,50.5,51.6,53.2,55.9,56.9,57.8,59.3,60.3,60.1,61.0,...,...,65.5
,Employed,37.4,38.1,39.6,40.5,42.2,43.2,47.4,48.8,50.5,52.9,53.8,54.4,55.8,56.6,56.5,57.4,...,...,61.7
,"     Agriculture, forestry, and fishing",18.1,18.5,16.7,17.0,18.2,18.6,20.5,21.3,22.5,23.6,24.2,24.5,25.1,24.7,24.6,24.3,...,...,23.8
,     Mining and quarrying,,,,,,,,,,,,,,,,,,,0.1
,     Manufacturing,4.3,4.4,5.5,5.6,5.8,6.0,6.6,6.7,6.6,6.9,7.2,7.5,7.7,8.0,8.0,8.9,...,...,9.9
,"     Electricity, gas, steam, and air-conditioning supply; water supply; 
          sewerage, waste management, and remediation activitiesc",...,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.5,...,...,0.5
,     Construction,...,2.2,2.4,2.5,2.5,2.5,2.9,3.2,3.2,3.5,3.6,3.8,3.9,4.2,4.2,4.2,...,...,4.7
