PHILIPPINES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank (ADB) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Key Indicators for Asia and the Pacific 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
www.adb.org/statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,,,,,,,,,,,,,,,,
,POPULATION ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total populationa  as of 1 July  (million),76.8,78.4,79.9,81.5,83.1,84.7,86.3,87.9,89.4,91.0,93.1,94.8,96.5,98.2,99.9,101.6,103.2,104.9,106.6,,,,,,,,,,,,,,,,
,Population density   (persons/km2),256,261,266,272,277,282,288,293,298,303,309,314,319,325,333,337,344,350,355,,,,,,,,,,,,,,,,
,Population   (% annual change),2.3,2.1,2.0,2.0,1.9,1.9,1.9,1.8,1.8,1.8,2.3,1.8,1.8,1.7,1.7,1.7,1.6,1.6,1.6,,,,,,,,,,,,,,,,
,Urban population   (% of total population),46.1,46.1,46.0,45.9,45.8,45.7,45.6,45.5,45.5,45.4,45.3,45.5,45.7,45.9,46.1,46.3,46.5,46.7,46.9,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"LABOR FORCEb,c   calendar year ('000)","30,911","32,809","33,936","34,571","35,862 |","35,287 |","35,464","36,213","36,804","37,893","38,893","40,006","40,427","41,022","41,379","41,343","43,361","42,775","43,459",,,,,,,,,,,,,,,,
,Employed,"27,453","29,156","30,062","30,635","31,613 |","32,539 |","32,636","33,560","34,089","35,063","36,035","37,192","37,600","38,118","38,651","38,741","40,998","40,334","41,156",,,,,,,,,,,,,,,,
,"     Agriculture, forestry, and fishing ","10,181","10,850","11,122","11,220","11,381 |","11,628 |","11,682","11,786","12,030","12,044","11,956","12,268","12,092","11,836","11,801","11,294","11,064","10,261","9,998",,,,,,,,,,,,,,,,
,     Mining and quarrying,108,103,113,104,118 |,123 |,139,149,158,166,199,211,250,250,239,235,219,203,207,,,,,,,,,,,,,,,,
,     Manufacturing,"2,745","2,906","2,869","2,941","3,061 |","3,077 |","3,053","3,059","2,926","2,894","3,033","3,080","3,112","3,159","3,212","3,209","3,404","3,481","3,625",,,,,,,,,,,,,,,,
,"     Electricity, gas, steam, and air-conditioning supply; water supply; sewerage, waste management, 
          and remediation activities",123,119,117,112,120 |,117 |,128,135,130,142,150,148,148,154,137,135,159,149,149,,,,,,,,,,,,,,,,
,     Construction,"1,479","1,585","1,596","1,683","1,700 |","1,708 |","1,677","1,778","1,834","1,891","2,017","2,091","2,232","2,373","2,578","2,697","3,378","3,537","3,866",,,,,,,,,,,,,,,,
,     Wholesale and retail trade; repair of motor vehicles and motorcycles,4484,"5,255","5,613","5,601","5,872 |","6,147 |","6,202","6,354","6,446","6,735","7,034","7,399","6,864","7,105","7,248","7,313","8,039","7,900","7,994",,,,,,,,,,,,,,,,
,     Accommodation and food service activities,,668,693,750,806 |,861 |,887,907,953,"1,010","1,063","1,119","1,571","1,607","1,694","1,716","1,777","1,740","1,727",,,,,,,,,,,,,,,,
,     Transportation and storage,"1,987","2,118","2,162","2,310","2,427 |","2,451 |","2,483","2,599","2,590","2,679","2,723","2,775","2,617","2,734","2,686","2,781","3,038","3,127","3,220",,,,,,,,,,,,,,,,
,     Information and communication,,,,,,,,,,,,,338,344,352,381,366,397,403,,,,,,,,,,,,,,,,
,     Financial and insurance activities,711,292,312,303,328 |,341 |,344,359,368,369,400,434,437,448,491,498,514,506,541,,,,,,,,,,,,,,,,
,     Real estate activities,,516,544,639,690 |,734 |,783,885,953,"1,064","1,146","1,257",170,173,168,184,193,186,204,,,,,,,,,,,,,,,,
,     Others,"5,636","4,744","4,922","4,974","5,114 |","5,127 |","5,258","5,550","5,702","6,067","6,316","6,410","7,767","7,934","8,043","8,297","8,848","8,848","9,223",,,,,,,,,,,,,,,,
,Unemployedc,"3,459","3,653","3,874","3,936","4,249 |","2,748 |","2,829","2,653","2,716","2,831","2,859","2,814","2,826","2,905","2,728","2,602","2,363","2,441","2,302",,,,,,,,,,,,,,,,
,Unemployment ratec   (%),11.2,11.1,11.4,11.4,11.8 |,7.8 |,8.0,7.3,7.4,7.5,7.4,7.0,7.0,7.1,6.6,6.3,5.4,5.7,5.3,,,,,,,,,,,,,,,,
,Labor forced   (% annual change),0.5,6.1,3.4,1.9,3.7 |,...,… ,2.1,1.6,3.0,2.6,2.9,1.0,1.5,2.8,0.5,4.9,-1.3,1.6,,,,,,,,,,,,,,,,
,Labor force participation ratec    (%),64.9,67.1,67.4,66.7,67.5 |,65.1 |,64.2,64.0,63.6,64.0,64.1,64.6,64.2,63.9,64.6,63.7,63.5,61.2,60.9,,,,,,,,,,,,,,,,
,     Male,81.4,82.4,82.0,82.2,83.8 |,80.4 |,79.3,78.8,78.8,78.7,78.5,79.0,78.5,78.1,78.6,77.3,77.6,76.2,75.1,,,,,,,,,,,,,,,,
,     Female,48.5,51.8,52.8,51.4,51.2 |,49.8 |,49.3,49.3,48.6,49.4,49.7,50.4,50.0,49.9,50.7,50.1,49.3,46.2,46.6,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NATIONAL ACCOUNTSe   calendar year (₱ billion),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,At Current Prices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,GDP by industrial origin at current market prices,"3,580.7","3,888.8","4,198.3","4,548.1","5,120.4","5,677.7","6,271.2","6,892.7","7,720.9","8,026.1","9,003.5","9,708.3","10,561.1","11,538.4","12,634.2","13,322.0","14,480.3","15,807.6","17,426.2",,,,,,,,,,,,,,,,
,"     Agriculture, forestry, and fishing",500.1,513.4,551.9,577.8,681.3,719.1,775.7,861.4,"1,022.5","1,049.9","1,108.7","1,235.0","1,249.8","1,298.4","1,431.6","1,366.9","1,398.1","1,527.6","1,617.9",,,,,,,,,,,,,,,,
,     Mining and quarrying,22.5,22.1,40.0,51.1,54.2,69.6,76.5,93.9,95.4,106.4,128.7,143.0,121.4,115.4,130.2,108.1,114.7,134.0,146.2,,,,,,,,,,,,,,,,
,     Manufacturing,876.1,959.2,"1,036.7","1,120.8","1,226.3","1,365.7","1,481.3","1,567.7","1,760.9","1,706.4","1,930.8","2,047.7","2,170.9","2,355.4","2,603.6","2,669.2","2,847.6","3,075.4","3,320.3",,,,,,,,,,,,,,,,
,"     Electricity, gas, steam, and air-conditioning supply",119.3,142.3,146.2,152.7,168.7,188.6,205.2,219.7,224.8,229.9,275.3,279.7,317.4,336.2,357.7,365.2,383.0,412.1,461.7,,,,,,,,,,,,,,,,
,"     Water supply; sewerage, waste management, and remediation activities",13.7,16.4,17.8,21.0,25.5,30.5,31.7,34.2,40.9,45.2,49.9,54.7,61.8,65.2,69.7,74.6,78.8,82.0,88.9,,,,,,,,,,,,,,,,
,     Construction,203.9,203.6,213.3,228.6,255.9,269.1,308.2,365.5,419.4,460.4,551.2,522.2,633.1,723.3,802.9,904.5,"1,034.3","1,113.6","1,347.6",,,,,,,,,,,,,,,,
,     Wholesale and retail trade; repair of motor vehicles and motorcycles,565.5,620.3,663.7,718.2,817.2,931.1,"1,053.2","1,178.8","1,316.1","1,359.5","1,563.8","1,696.7","1,870.6","2,069.6","2,244.7","2,412.1","2,652.8","2,917.9","3,229.4",,,,,,,,,,,,,,,,
