SINGAPORE,,,,,,,,,
,,,,,,,,,
Asian Development Bank (ADB) ,,,,,,,,,
Key Indicators for Asia and the Pacific 2019,,,,,,,,,
www.adb.org/statistics,,,,,,,,,
,,,,,,,,,
,,2000,2005,2010,2014,2015,2016,2017,2018
,POPULATION ,,,,,,,,
,Total populationa  as of 30 June (million) ,4.0,4.3,5.1,5.5,5.5,5.6,5.6,5.6
,Population density   (persons/km2),"5,900","6,121","7,146","7,615","7,697","7,797","7,796","7,804"
,Population   (% annual change),1.7,2.4,1.8,1.3,1.2,1.3,0.1,0.5
,Urban population   (% of total population),100,100,100,100,100,100,100,100
,,,,,,,,,
,TOTALb LABOR FORCEc   as of June ('000),"2,192","2,367","3,136","3,531","3,611","3,673","3,657","3,676"
,Employed,"2,095","2,267","3,047","3,440","3,516","3,570","3,550","3,575"
,Employed residentsc,"1,483","1,647","1,963","2,104","2,148","2,165","2,175","2,204"
,"     Agriculture, forestry, and fishingd",2,2,4,2,2,2,2,2
,     Mining and quarryingd,1,0,9,3,1,1,1,1
,     Manufacturing,289,275,291,249,239,228,224,228
,"     Electricity, gas, steam, and air-conditioning supplye; water supply; sewerage, waste
          management, and remediation activitiese",...,...,25,18,19,17,18,17
,     Construction,91,82,104,98,110,101,101,104
,     Wholesale and retail trade; repair of motor vehicles and motorcyclesf,254,304,282,346,364,364,356,353
,     Accommodation and food service activities,93,103,129,137,139,138,134,134
,     Transportation and storage,150,163,191,189,188,188,196,199
,     Information and communication,56,65,100,88,84,85,89,92
,     Financial and insurance activities,87,102,126,166,167,191,190,196
,     Real estate activitiesg,43,43,40,56,55,54,58,54
,     Other servicesh,417,509,662,750,779,797,807,822
,Unemployed,98,101,89,91,95,103,107,100
,Unemployment rate   (%),4.4,4.2,2.8,2.6,2.6,2.8,2.9,2.7
,Labor force   (% annual change),-0.7,1.1,3.5,2.5,2.3,1.7,-0.4,0.5
,Labor force participation ratec   (%),63.2,63.0,66.2,67.0,68.3,68.0,67.7,67.7
,     Male,76.6,74.4,76.5,75.9,76.7,76.2,76.0,75.6
,     Female,50.2,52.0,56.5,58.6,60.4,60.4,59.8,60.2
,,,,,,,,,
,NATIONAL ACCOUNTS   calendar year (S$ million),,,,,,,,
,At Current Prices,,,,,,,,
,GDP by industrial origin,"165,632.4","212,723.0","326,980.1","398,947.9","423,444.1","439,411.6","467,305.5","491,174.5"
