SOLOMON ISLANDS,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Asian Development Bank (ADB) ,,,,,,,,,,,,,,,,,,,,
Key Indicators for Asia and the Pacific 2019,,,,,,,,,,,,,,,,,,,,
www.adb.org/statistics,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
,POPULATION ,,,,,,,,,,,,,,,,,,,
,Total populationa  as of 1 July ('000),418.6,428.5,438.5,448.8,459.4,470.1,481.2,492.5,504.0,515.9 |,555.5, 569.6 , 583.7 , 597.7 , 611.7 , 625.6 , 639.4 , 653.2 , 667.0 
,Population density   (persons/km2),13.8,14.1,14.4,14.8,15.1,15.5,15.8,16.2,16.6,17.0,18.3,18.7,19.2,19.7,20.1,20.6,21.0,21.5,21.9
,Population   (% annual change),2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,…,2.6,2.5,2.4,2.3,2.3,2.2,2.2,2.1
,Urban population   (% of total population),15.8,16.2,16.6,17.0,17.4,17.8,18.3,18.7,19.1,19.6,20.0,20.5,21.0,21.4,21.9,22.4,22.8,23.3,23.7
,,,,,,,,,,,,,,,,,,,,
,LABOR FORCE   calendar year ('000),...,...,...,...,...,...,...,...,...,215.3,...,...,...,...,...,...,...,...,...
,Employedb,...,...,...,...,...,...,...,...,...,81.2,...,...,...,...,...,...,...,...,...
,"     Agriculture, forestry, and fishing ",...,...,...,...,...,...,...,...,...,33.7,...,...,...,...,...,...,...,...,...
,     Mining and quarrying,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
,     Manufacturing,...,...,...,...,...,...,...,...,...,5.2,...,...,...,...,...,...,...,...,...
,"Electricity, gas, steam, and air-conditioning supply; water supply;
      sewerage, waste management, and remediation activities",...,...,...,...,...,...,...,...,...,0.4,...,...,...,...,...,...,...,...,...
,     Construction,...,...,...,...,...,...,...,...,...,5.0,...,...,...,...,...,...,...,...,...
,     Wholesale and retail trade; repair of motor vehicles and motorcycles,...,...,...,...,...,...,...,...,...,7.8,...,...,...,...,...,...,...,...,...
,     Accommodation and food service activities,...,...,...,...,...,...,...,...,...,1.2,...,...,...,...,...,...,...,...,...
,     Transportation and storage,...,...,...,...,...,...,...,...,...,4.0,...,...,...,...,...,...,...,...,...
,     Information and communication,,,,,,,,,,,,,,,,,,,
,     Financial and insurance activities,...,...,...,...,...,...,...,...,...,0.5,...,...,...,...,...,...,...,...,...
,     Real estate activities,...,...,...,...,...,...,...,...,...,0.4,...,...,...,...,...,...,...,...,...
,     Other services,...,...,...,...,...,...,...,...,...,22.6,...,...,...,...,...,...,...,...,...
,Unpaid workc,...,...,...,...,...,...,...,...,...,129.1,...,...,...,...,...,...,...,...,...
,Unemployed,...,...,...,...,...,...,...,...,...,4.9,...,...,...,...,...,...,...,...,...
,Unemployment rate   (%),...,...,...,...,...,...,...,...,...,2.3,...,...,...,...,...,...,...,...,...
,Labor force   (% annual change),...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...,...
