TAJIKISTAN,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Asian Development Bank (ADB),,,,,,,,,,,,,,,,,,,,
Key Indicators for Asia and the Pacific 2019,,,,,,,,,,,,,,,,,,,,
www.adb.org/statistics,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
,POPULATION , ,,,,,,,,,,,,,,,,,,
,Total population   as of 1 July (million),6.20,6.32,6.43,6.57,6.70,6.78,6.90,7.03,7.17,7.33,7.52,7.71,7.90,8.07,8.26,8.45,8.65,8.84,9.03*
,Population density   (persons/km2),44,45,46,47,48,49,49,50,51,52,53,55,56,57,59,60,61,62,64*
,Population   (% annual change),2.3,2.0,1.8,2.2,2.0,1.2,1.8,1.8,2.0,2.2,2.5,2.6,2.4,2.2,2.3,2.4,2.3,2.2,2.1*
,Urban population   (% of total population),26.6,26.5,26.4,26.5,26.4,26.4,26.3,26.3,26.3,26.3,26.4,26.5,26.4,26.6,26.5,26.4,26.9,27.0,27.1
,,,,,,,,,,,,,,,,,,,,
,LABOR FORCEa   calendar year ('000),"1,794","1,872","1,904","1,932","2,132","2,154","2,185","2,201","2,217","2,264","2,280","2,303","2,347","2,362","2,382","2,437","2,438","2,460",...
,Employed,"1,745","1,829","1,857","1,885","2,090","2,112","2,137","2,150","2,168","2,219","2,233","2,249","2,292","2,307","2,325","2,380","2,385","2,407",...
,"     Agriculture, forestry, and fishing","1,135","1,218","1,255","1,275","1,391","1,425","1,433","1,430","1,447","1,468","1,471","1,507","1,521","1,526","1,524","1,545","1,539","1,466",...
,     Mining and quarrying,,,,,,,,,,,10,10,11,12,11,13,11,13,...
,     Manufacturing,121,123,122,115,118,121,118,114,104,104,78,63,64,66,66,60,60,87,...
,"     Electricity, gas, steam, and air-conditioning supply; water supply; 
          sewerage, waste management, and remediation activities",,,,,,,,,,,17,18,20,20,20,19,18,18,...
,     Construction,37,33,31,31,68,62,64,63,65,65,72,74,70,59,62,67,67,102,...
,     Wholesale and retail trade; repair of motor vehicles and motorcycles,83,83,75,88,99,91,100,105,113,125,123,125,138,136,138,149,148,171,...
,     Accommodation and food service activities,,,,,,,,,,,6,6,4,7,8,10,10,16,...
,     Transportation and storage,42,45,43,45,64,62,66,62,61,58,57,43,54,55,55,57,56,44,...
,     Information and communication,,,,,,,,,,,,,,,,,,,
