TUVALU,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank (ADB),,,,,,,,,,,,,,,,,,,,,,
Key Indicators for Asia and the Pacific 2019,,,,,,,,,,,,,,,,,,,,,,
www.adb.org/statistics,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,,
,POPULATION ,,,,,,,,,,,,,,,,,,,,,
,Total population  as of 1 July ('000),9.5,9.6,9.6,9.7,10.0,10.3,10.4,11.1,11.0,11.1,11.1,10.6,10.8,10.9,11.0,11.2,11.3,11.4,11.6,,
,Population density   (persons/km2),372.2,373.6,373.0,377.7,389.4,401.3,407.0,434.2,430.5,432.8,429.0,407.0,414.7,419.7,424.7,429.8,435.0,440.2,445.5,,
,Population   (% annual change),1.3,0.4,-0.2,1.3,3.1,3.1,1.4,6.7,-0.9,0.5,0.5,-5.1,1.9,1.2,1.2,1.2,1.2,1.2,1.2,,
,,,,,,,,,,,,,,,,,,,,,,
,NATIONAL ACCOUNTS   calendar year (A$ '000),,,,,,,,,,,,,,,,,,,,,
,At Current Prices,,,,,,,,,,,,,,,,,,,,,
,GDP by industrial origin at current prices,"23,861","25,674","28,591","28,306","29,409","28,389","30,402","32,286","35,772","34,524","34,226","37,084","35,929","38,438","40,805","46,639","53,197","57,295",…,,
,"     Agriculture, forestry, and fishing","4,478","4,903","5,172","5,184","5,684","5,937","6,931","7,507","7,984","8,385","9,144","9,488","9,149","9,009","9,068","9,583","10,491","10,822",…,,
,     Mining and quarrying,33,32,32,32,35,36,38,39,40,39,40,40,40,39,40,38,38,40,…,,
,     Manufacturing,179,195,250,345,277,236,269,251,380,370,381,390,421,325,364,421,448,430,…,,
,"     Electricity, gas, steam, and air-conditioning supply",-39,227,-23,178,461,512,-311,-524,-17,-96,-340,-113,-411,-689,-319,396,974,"1,205",…,,
,"     Water supply; sewerage, waste management, and remediation activities",,,,,,,,,,,,,,,,,,,…,,
,     Construction,"1,447","1,538","2,003","2,292","2,016","1,441","1,731","2,762","4,253","3,660","1,818","3,049","1,985","3,346","3,305","4,851","6,335","8,000",…,,
,     Wholesale and retail trade; repair of motor vehicles and motorcycles,"2,726","2,491","2,721","2,169","2,354","2,522","3,525","4,055","3,976","2,640","2,938","3,581","3,524","3,554","3,764","3,844","4,163","5,008",…,,
,     Accommodation and food service activities,231,401,357,421,470,314,315,398,334,338,330,270,335,524,492,622,647,625,…,,
,     Transportation and storage,530,737,977,"1,030","1,234","1,137","1,059","1,235","1,304","1,377","1,506","1,482","1,428","1,483","1,526","1,553","2,212","2,020",…,,
,     Information and communication,"1,426","1,073","1,989","1,136","1,531","1,050",774,523,167,280,437,301,478,545,558,608,497,738,…,,
,     Financial and insurance activities,"2,894","2,823","3,519","3,244","2,796","2,541","2,840","2,798","3,610","3,668","3,586","3,880","3,938","3,883","4,114","4,588","5,176","4,407",…,,
,     Real estate activities,"1,048","1,030","1,580","1,773","1,849","1,863","1,994","2,049","2,051","2,046","2,040","2,006","1,966","1,943","1,893","1,835","1,805","1,807",…,,
,"     Professional, scientific, and technical activities",…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,,
,     Administrative and support service activities,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,,
,     Public administration and defense; compulsory social security,"3,880","4,339","4,214","4,748","4,870","4,589","4,846","4,622","5,072","5,339","6,102","5,674","5,822","6,086","7,210","8,445","9,065","9,484",…,,
,     Education,"1,993","2,158","2,076","2,206","2,302","2,473","2,586","2,580","2,664","2,967","2,786","3,110","3,275","3,267","3,583","3,912","4,290","4,333",…,,
,     Human health and social work activities,"1,106","1,204","1,148","1,324","1,502","1,483","1,541","1,589","1,540","1,521","1,855","1,866","1,811","1,886","2,208","2,393","2,807","3,246",…,,
,"     Arts, entertainment, and recreation",…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,,
,     Other service activities,…,…,447,597,679,565,596,466,626,755,864,"1,306","1,575","1,573","1,564","1,697","1,723","2,049",…,,
,"     Activities of households as employers; undifferentiated goods- and 
          services-producing activities of households for own use",…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,,
,     Activities of extraterritorial organizations and bodies,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,,
,Imputed bank service charges at current prices,991,989,"1,295","1,595","1,526","1,120",953,849,"1,378","1,478","1,623","1,786","1,837","1,443","1,470","1,586","1,132","1,253",…,,
,Taxes on production and imports at current prices,"2,921","3,512","3,425","3,224","2,875","2,810","2,620","2,784","3,166","2,715","2,361","2,542","2,431","3,107","2,908","3,438","3,659","4,334",…,,
,,,,,,,,,,,,,,,,,,,,,,
,              Structure of Output   (% of GDP at current market prices),,,,,,,,,,,,,,,,,,,,,
,               Agriculture,20.4,21.2,19.5,19.4,20.3,22.2,24.1,24.7,23.5,25.2,27.3,26.1,25.9,24.5,23.0,21.4,20.7,20.0,…,,
