UZBEKISTAN,,,,,,,,,,,,,,,,,,,,
Asian Development Bank (ADB),,,,,,,,,,,,,,,,,,,,
Key Indicators for Asia and the Pacific 2019,,,,,,,,,,,,,,,,,,,,
www.adb.org/statistics,,,,,,,,,,,,,,,,,,,,
,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
,POPULATION ,,,,,,,,,,,,,,,,,,,
,Total population  as of 1 July (million),24.7,25.0,25.3,25.6,25.9,26.2,26.5,26.9,27.3,27.8,28.6,29.3,29.8,30.2,30.8,31.3,31.8,32.4,33.0
,Population density (persons/km2),55,56,56,57,58,58,59,60,61,62,64,66,67,68,69,70,71.5,72.7,74.1
,Population  (% annual change),1.4,1.3,1.2,1.2,1.2,1.2,1.2,1.4,1.6,1.7,2.9,2.7,1.5,1.6,1.7,1.8,1.8,1.7,1.7
,Urban population (% of total population),37.2,37.0,36.7,36.5,36.3,36.1,36.0,35.9,35.8,51.6,51.3,51.3,51.3,51.1,50.9,50.7,50.7,50.7,50.6
,,,,,,,,,,,,,,,,,,,,
,LABOR FORCEa  calendar year ('000),"9,018","9,174","9,368","9,621","9,946","10,224","10,493","10,759","11,052","11,348","11,645","11,932","12,230","12,529","13,505","13,768","14,022","14,357","14,642"
,Employed,"8,983","9,136","9,333","9,589","9,911","10,196","10,467","10,735","11,035","11,328","11,628","11,919","12,224","12,523","12,818","13,058","13,298","13,520","13,273"
,"     Agriculture, forestry, and fishingb","3,093","3,062","3,046","3,063","3,068","2,970","2,929","2,991","3,030","2,892","3,118","3,229","3,252","3,402","3,529","3,602","3,647","3,671",…
,     Mining and quarryingc,,,,,,,,,,,,,,,,,,,
,     Manufacturingc,"1,145","1,160","1,186","1,223","1,284","1,348","1,402","1,446","1,487","1,513","1,606","1,641","1,670","1,703","1,737","1,769","1,802","1,827",…
