VANUATU,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank (ADB),,,,,,,,,,,,,,,,,,,,,
Key Indicators for Asia and the Pacific 2019,,,,,,,,,,,,,,,,,,,,,
www.adb.org/statistics,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,
,POPULATION ,,,,,,,,,,,,,,,,,,,,
,Total population as of 1 July ('000),190.9,195.3,199.9,204.5,209.2,214.0,218.9,223.9,229.1,234.0,239.7,245.2,250.9,256.7,262.6,268.6,272.5,278.4,284.6,
,Population density   (persons/km2),16,16,16,17,17,17,18,18,19,19,20,20,20,21,21,22,22,23,23,
,Population   (% annual change),2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.2,2.4,2.3,2.3,2.3,2.3,2.3,1.4,2.2,2.2,
,Urban population   (% of total population),21.8,22.0,22.3,22.6,22.9,23.2,23.5,23.8,24.1,24.4,24.4,24.5,24.5,24.5,24.6,24.6,24.9,24.9,25.0,
,,,,,,,,,,,,,,,,,,,,,
,NATIONAL ACCOUNTS  calendar year (Vt million),,,,,,,,,,,,,,,,,,,,
,At Current Prices,,,,,,,,,,,,,,,,,,,,
,GDP by industrial origin at current market prices,"37,627","38,040","36,553","38,425","40,803","43,148","48,613","53,926","61,607","65,119","67,912","70,873","72,415","75,803","79,109","82,798","87,250","94,887",…,
,"     Agriculture, forestry, and fishing","8,722","8,945","8,870","8,773","9,629","9,611","10,201","11,087","12,440","12,868","14,075","16,216","18,115","18,945","19,932","17,888","18,260","20,278",…,
,     Mining and quarrying,...,...,–,–,–,–,10,130,24,26,19,16,24,20,19,15,27,27,…,
,     Manufacturing,"1,642","1,636","1,537","1,577","1,646","1,639","1,756","1,645","1,531","1,861","3,242","2,986","2,604","2,442","2,621","2,716","2,754","2,755",…,
,"     Electricity, gas, steam, and air-conditioning supply",598,685,701,683,675,810,917,"1,024","1,300","1,118","1,300","1,386","1,429","1,437","1,518","1,577","1,671","1,669",…,
,"     Water supply; sewerage, waste management, and remediation activities",,,,,,,,,,,,,,,,,,,…,
,     Construction,"1,959","1,067","1,034",888,779,937,"1,252","1,406","2,598","4,078","3,803","2,499","1,398","2,063","2,271","4,592","4,688","5,198",…,
,     Wholesale and retail trade; repair of motor vehicles and motorcyclesa,"5,357","5,508","5,229","5,753","5,907","6,000","7,886","8,376","9,546","10,071","10,514","11,033","12,494","12,857","13,979","14,785","16,662","17,553",…,
,     Accommodation and food service activities,,,"1,655","1,656","1,928","1,885","1,986","2,267","2,612","3,169","3,299","3,279","3,604","3,838","3,878","3,489","3,741","3,969",…,
,     Transportation and storageb,"2,984","3,400","1,587","2,122","2,477","3,000","3,009","3,352","2,876","3,632","3,658","3,952","3,792","3,673","3,627","3,056","3,455","3,990",…,
,     Information and communication,,,"1,322","1,442","1,585","1,727","1,760","2,168","2,703","3,107","3,355","3,695","2,685","3,097","3,357","3,547","3,817","4,725",…,
