VIET NAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asian Development Bank (ADB) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Key Indicators for Asia and the Pacific 2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
www.adb.org/statistics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,POPULATION ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,POPULATION{|},,Y,POPULATION{|},,,,,,,,,,,,,,,,,,,,,,
,Total population  as of 1 July  (million),77.11,78.12,79.08,80.00,80.95,81.91,82.85,84.22,85.12,86.03,86.93,87.84,88.81,89.76,90.73,91.71,92.69,93.68,94.70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Total population{|} {#MagnitudeVar#}; as of 1 July,,N,Total population{|} {#MagnitudeVar#}; as of 1 July,,,,,,,,,,,,,,,,,,,,,,
,Population density   (persons/km2),234,237,241,245,248,247,251,254,257,260,263,265,268,271,274,277,280,283,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Population density{|} persons per square kilometer,,N,Population density{|} persons per square kilometer,,,,,,,,,,,,,,,,,,,,,,
,Population   (% annual change),1.4,1.3,1.2,1.2,1.2,1.2,1.1,1.1,1.1,1.1,1.1,1.0,1.1,1.1,1.1,1.1,1.1,1.1,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,"Population annual change, %",,N,"Population annual change, %",,,,,,,,,,,,,,,,,,,,,,
,Urban population   (% of total population),24.2,24.7,25.1,25.8,26.5,27.1,27.7,28.2,29.0,29.7,30.5,31.6,31.8,32.2,33.1,33.9,34.4,35.0,35.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Urban population % of total population,,N,Urban population % of total population,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,LABOR FORCE   as of 1 July  (million),38.5,39.6,40.4,41.5,42.5,44.9,46.2,47.2,48.2,49.3,50.4,51.4,52.3,53.2,53.7,54.0,54.4,54.8,55.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,Labor Force,,N,Labor Force,,,,,,,,,,,,,,,,,,,,,,
,Employeda,37.6,38.6,39.5,40.6,41.6,42.8,44.0,45.2,46.5,47.7,49.0,50.4,51.4,52.2,52.7,52.8,53.3,53.7,54.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,Employed,,N,Employed,,,,,,,,,,,,,,,,,,,,,,
,"Agriculture, forestry, and fishing",24.5,24.5,24.5,24.4,24.4,23.6,24.4,23.9,24.3,24.6,24.3,24.4,24.4,24.4,24.4,23.3,22.3,21.6,20.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,Agriculture,,N,Agriculture,,,,,,,,,,,,,,,,,,,,,,
