CO-42,"China, People's Republic of",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 , , ,Attributes,Source,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,Footnotes,,,
 ,MILLENNIUM DEVELOPMENT GOAL INDICATORS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,Target 1.A: Halve $1-a-day poverty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SU-981, ,1.1 Proportion of population below $1(PPP) per day ,percent, , Ending 1231,ADB Staff Estimate,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,,
SU-981, ,1.1 Proportion of population below $1(PPP) per day ,percent, , Ending 1231,Asian Development Bank,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,10.82,... ,... ,... ,... ,... ,,
SU-981, ,1.1 Proportion of population below $1(PPP) per day ,percent, , Ending 1231,"PovcalNet, WorldBank",... ,... ,32.5,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,,
SU-981, ,1.1 Proportion of population below $1(PPP) per day ,percent, , Ending 1231,United Nations Statistical Division,... ,... ,33,... ,... ,28.4,... ,... ,17.4,... ,... ,17.8,... ,13.8,... ,... ,9.9,... ,... ,... ,... ,... ,,
SU-981, ,1.1 Proportion of population below $1(PPP) per day ,percent, , Ending 1231,World Bank,... ,... ,... ,... ,... ,28,... ,... ,17,... ,... ,18,... ,17,... ,... ,... ,... ,... ,... ,... ,... ,,
SU-980, ,1.2 Poverty gap ratio ,percent, , Ending 1231,Asian Development Bank,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,2.51,... ,... ,... ,... ,... ,,
SU-980, ,1.2 Poverty gap ratio ,percent, , Ending 1231,"PovcalNet, WorldBank",... ,... ,8.9,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,,
SU-980, ,1.2 Poverty gap ratio ,percent, , Ending 1231,United Nations Statistical Division,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,2.1,... ,... ,... ,... ,... ,,
