CO-1,Afghanistan
" "," "," ",Attributes,Source,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,Footnotes
" ",MILLENNIUM DEVELOPMENT GOAL INDICATORS
" ",Target 7.A: Reverse the loss of environmental resources
SU-1193," ",7.2.b Carbon Dioxide emissions (per capita metric tons) ,Per capita metric tons; ; Ending 1231,"1990-2003,2004: Carbon Dioxide Information Analysis Center",... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,.1792 ,.157 ,.0828 ,.0738 ,.0661 ,.0601 ,.0548 ,.0498 ,.0463 ,.042 ,.0382 ,.026 ,.0259 ,.0259 ,... ,... ,... ,... ,... ,... 
SU-1199," ",7.2.c Ozone-Depleting CFCs Consumption (ODP Tons) ,ODP Metric Tons; ; Ending 1231,"1995-1997,1998,2004-2005,2006: UNEP-Ozone Secretariat",... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,380 ,380 ,380 ,... ,... ,... ,... ,... ,... ,177.92 ,141.2 ,... ,... ,... ,... 
" ",SOCIAL AND ENVIRONMENT INDICATORS
" ",Demographic
SU-971," ","Birth rate, crude per 1000 persons ",; ; Ending 1231,"1990,1991,2005,2006: United Nations Children's Fund (formerly UN Intl. Children's Emergency Fund)",... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,51 ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,49 ,... ,... ,... ,... 
SU-972," ","Death rate, crude per 1000 persons ",; ; Ending 1231,"1990,1991,2005,2006: United Nations Children's Fund (formerly UN Intl. Children's Emergency Fund)",... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,21 ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,19 ,... ,... ,... ,... 
SU-973," ","Fertility rate, total, births per woman ",; ; Ending 1231,"1990,1991: United Nations Population Fund
2005,2006: World Health Organization",... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,7.2 ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,7.3 ,... ,... ,... ,... 
SU-970," ",Age dependency ratio ,Ratio; ; Ending 1231,"1990,1991,2000,2001: United Nations
2003,2004: Economic and Social Commission for Asia and the Pacific",... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,88.15789 ,... ,... ,... ,... ,... ,... ,... ,... ,... ,86.21974 ,... ,... ,85.18519 ,... ,... ,... ,... ,... ,... 
" ",Health and Nutrition
SU-1049," ",Daily per capita protein supply ,gram; ; Ending 1231,"1990,1991,1999,2000: Food and Agricultural Organization",... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... ,55 ,... ,... ,... ,... ,... ,... ,... ,... ,54 ,... ,... ,... ,... ,... ,... ,... ,... ,... ,... 
